"Label","Location","Type","Size","Namespace"
"@4813","8068aa4c","undefined4","4","d_a_kita"
"s_d_a_kita.cpp_8068aa55","8068aa55","string","13","Global"
"s_modelData_!=_0_8068aa62","8068aa62","string","15","Global"
"s_actor->pm_bgw_!=_0_8068aa76","8068aa76","string","19","Global"
"DAT_8068aab8","8068aab8","undefined1","1","Global"
"DAT_8068ab1c","8068ab1c","undefined2","2","Global"
"DAT_8068ab24","8068ab24","undefined4","4","Global"
"DAT_8068ab34","8068ab34","undefined4","4","Global"
"profile_method_class_8068ab84","8068ab84","profile_method_class","32","Global"
"f_pc_profile__Profile_Actor_8068aba4","8068aba4","f_pc_profile__Profile_Actor","48","Global"
"__vt","8068abd5","undefined1","1","cCcD_GStts"
"__vt","8068abe1","undefined1","1","dCcD_GStts"
"__vt","8068abed","undefined1","1","cM2dGCir"
"__vt","8068abf9","undefined1","1","cM3dGCir"
"__vt","8068ac05","undefined1","1","dBgS_AcchCir"
"__vt","8068ac11","undefined1","1","dBgS_ObjAcch"
"__vt","8068ac35","undefined1","1","dCcD_Sph"
"","8068ac3c","undefined *","4",""
"","8068ac40","undefined *","4",""
"","8068ac44","undefined *","4",""
"","8068ac48","undefined *","4",""
"","8068ac4c","undefined *","4",""
"","8068ac50","undefined *","4",""
"","8068ac54","undefined *","4",""
"","8068ac58","undefined *","4",""
"","8068ac64","undefined *","4",""
"","8068ac68","undefined *","4",""
"","8068ac6c","undefined *","4",""
"","8068ac70","undefined *","4",""
"","8068ac74","undefined *","4",""
"","8068ac78","undefined *","4",""
"","8068ac7c","undefined *","4",""
"","8068ac80","undefined *","4",""
"","8068ac84","undefined *","4",""
"","8068ac88","undefined *","4",""
"","8068ac8c","undefined *","4",""
"","8068ac90","undefined *","4",""
"","8068ac94","undefined *","4",""
"","8068ac98","undefined *","4",""
"","8068ac9c","undefined *","4",""
"","8068aca0","undefined *","4",""
"","8068aca4","undefined *","4",""
"","8068aca8","undefined *","4",""
"","8068acac","undefined *","4",""
"__vt","8068acbd","undefined1","1","cM3dGSph"
"__vt","8068acc9","undefined1","1","cM3dGAab"
"__vt","8068acd5","undefined1","1","cCcD_ShapeAttr"
"__vt","8068ad29","undefined1","1","cBgS_PolyInfo"
"__vt","8068ad35","undefined1","1","cBgS_GndChk"
"__vt","8068ad4d","undefined1","1","dBgS_ObjGndChk_Spl"
"__vt","8068ad7d","undefined1","1","dBgS_ObjGndChk"
"__vt","8068adad","undefined1","1","dBgS_GndChk"
"__vt","8068addd","undefined1","1","dBgS_Chk"
"__vt","8068adf5","undefined1","1","dBgS_GrpPassChk"
"__vt","8068ae01","undefined1","1","cBgS_GrpPassChk"
"__vt","8068ae0d","undefined1","1","dBgS_PolyPassChk"
"__vt","8068ae19","undefined1","1","cBgS_PolyPassChk"
"@4083","8068d05c","undefined4","4","d_a_klft"
"@4084","8068d060","undefined4","4","d_a_klft"
"@4085","8068d064","undefined8","8","d_a_klft"
"@4086","8068d06c","undefined8","8","d_a_klft"
"@4087","8068d074","undefined4","4","d_a_klft"
"@4088","8068d078","undefined4","4","d_a_klft"
"@4089","8068d07c","undefined4","4","d_a_klft"
"@4090","8068d080","undefined4","4","d_a_klft"
"@4091","8068d084","undefined4","4","d_a_klft"
"@4092","8068d088","undefined4","4","d_a_klft"
"@4093","8068d08c","undefined4","4","d_a_klft"
"@4147","8068d090","undefined4","4","d_a_klft"
"@4432","8068d094","undefined4","4","d_a_klft"
"@4433","8068d098","undefined4","4","d_a_klft"
"@4434","8068d09c","undefined4","4","d_a_klft"
"@4435","8068d0a0","undefined4","4","d_a_klft"
"@4436","8068d0a4","undefined4","4","d_a_klft"
"@4437","8068d0a8","undefined4","4","d_a_klft"
"@4438","8068d0ac","undefined4","4","d_a_klft"
"@4439","8068d0b0","undefined4","4","d_a_klft"
"@4440","8068d0b4","undefined4","4","d_a_klft"
"@4441","8068d0b8","undefined4","4","d_a_klft"
"@4442","8068d0bc","undefined4","4","d_a_klft"
"@4443","8068d0c0","undefined4","4","d_a_klft"
"@4444","8068d0c4","undefined4","4","d_a_klft"
"@4445","8068d0c8","undefined4","4","d_a_klft"
"@4446","8068d0cc","undefined4","4","d_a_klft"
"@4447","8068d0d0","undefined4","4","d_a_klft"
"@4448","8068d0d4","undefined4","4","d_a_klft"
"@4511","8068d0d8","undefined4","4","d_a_klft"
"@4512","8068d0dc","undefined4","4","d_a_klft"
"@4513","8068d0e0","undefined4","4","d_a_klft"
"@4515","8068d0e4","undefined8","8","d_a_klft"
"@4584","8068d0ec","undefined4","4","d_a_klft"
"@4585","8068d0f0","undefined4","4","d_a_klft"
"@4586","8068d0f4","undefined4","4","d_a_klft"
"@4618","8068d0f8","undefined4","4","d_a_klft"
"@4833","8068d0fc","undefined4","4","d_a_klft"
"@4834","8068d100","undefined4","4","d_a_klft"
"@4835","8068d104","undefined4","4","d_a_klft"
"@4836","8068d108","undefined4","4","d_a_klft"
"s_d_a_klft.cpp_8068d111","8068d111","string","13","Global"
"s_actor->pm_bgw_!=_0_8068d11e","8068d11e","string","19","Global"
"l_daKlft_Method","8068d1ba","profile_method_class","32","d_a_klft"
"g_profile_KLFT","8068d1da","f_pc_profile__Profile_Actor","48","d_a_klft"
"__vt","8068d216","undefined1","1","dCcD_Cyl"
"__vt","8068d29e","undefined1","1","dCcD_Sph"
"__vt","8068d326","undefined1","1","cM3dGSph"
"__vt","8068d332","undefined1","1","cM3dGAab"
"__vt","8068d33e","undefined1","1","cCcD_ShapeAttr"
"__vt","8068d392","undefined1","1","mDoExt_3DlineMat_c"
"wind_vec","8068d3f4","undefined4","4","d_a_klft"
"wy","8068d3f8","undefined2","2","d_a_klft"
"wp","8068d3fc","undefined4","4","d_a_klft"
"m_arcname","8068debc","string","7","daKmon_c"
"@4036","8068dec4","undefined4","4","d_a_kmon"
"@4037","8068dec8","undefined4","4","d_a_kmon"
"@4068","8068decc","undefined4","4","d_a_kmon"
"@4089","8068ded0","undefined4","4","d_a_kmon"
"@4090","8068ded4","undefined4","4","d_a_kmon"
"@4169","8068dedc","undefined8","8","d_a_kmon"
"@4170","8068dee4","undefined8","8","d_a_kmon"
"@4171","8068deec","undefined4","4","d_a_kmon"
"@4172","8068def0","undefined4","4","d_a_kmon"
"@4173","8068def4","undefined4","4","d_a_kmon"
"@stringBase0","8068def8","string","13","d_a_kmon"
"s_modelData_!=_0_8068df05","8068df05","string","15","Global"
"s_pbtk_!=_0_8068df19","8068df19","string","10","Global"
"s_pbck_!=_0_8068df23","8068df23","string","10","Global"
"s_Ji1_KmonTalk_8068df2d","8068df2d","string","13","Global"
"@4103","8068df3a","undefined4","4","d_a_kmon"
"DAT_8068df3e","8068df3e","undefined4","4","Global"
"PTR_eventAction_8068df42","8068df42","pointer","4","Global"
"@4108","8068df46","undefined4","4","d_a_kmon"
"DAT_8068df4a","8068df4a","undefined4","4","Global"
"PTR_eventAction_8068df4e","8068df4e","pointer","4","Global"
"daKmonMethodTable","8068df52","profile_method_class","32","d_a_kmon"
"g_profile_Kmon","8068df72","f_pc_profile__Profile_Actor","48","d_a_kmon"
"__vt","8068dfc6","undefined1","1","mDoExt_bckAnm"
"__vt","8068dfd2","undefined1","1","mDoExt_btkAnm"
"__vt","8068dfde","undefined1","1","mDoExt_baseAnm"
"M_arcname","8068e640","undefined1","1","daKomore::Act_c"
"@4034","8068e648","undefined4","4","d_a_komore"
"@4072","8068e64c","undefined4","4","d_a_komore"
"@4073","8068e650","undefined4","4","d_a_komore"
"@4074","8068e654","undefined4","4","d_a_komore"
"@stringBase0","8068e658","string","15","d_a_komore"
"s_mdl_data_!=_0_8068e667","8068e667","string","14","Global"
"s_btk_data_!=_0_8068e67a","8068e67a","string","14","Global"
"Mthd_Table","8068e688","profile_method_class","32","daKomore::@unnamed@d_a_komore_cpp@"
